timestamp,latitude,longitude,heading,bearing,speed,satnum
1664601486.1560605,0,0,0,0,0,0
1664601486.2550523,0,0,0,0,0,0
1664601486.3559415,0,0,0,0,0,0
1664601486.4551435,0,0,0,0,0,0
1664601486.5554533,0,0,0,0,0,0
1664601486.6555111,0.0,0.0,0,0,0,0
1664601486.7550294,0.0,0.0,0,0,0,0
1664601486.8550649,0.0,0.0,0,0,0,0
1664601486.9558618,0.0,0.0,0,0,0,0
1664601487.0556269,0.0,0.0,0,0,0,0
1664601487.1550686,0.0,0.0,0,0,0,0
1664601487.255056,0.0,0.0,0,0,0,0
1664601487.3558555,0.0,0.0,0,0,0,0
1664601487.4595532,0.0,0.0,0,0,0,0
1664601487.5572903,0.0,0.0,0,0,0,0
1664601487.6553555,0.0,0.0,0,0,0,0
1664601487.7572622,0.0,0.0,0,0,0,0
1664601487.8550737,0.0,0.0,0,0,0,0
1664601487.954909,0.0,0.0,0,0,0,0
1664601488.0549293,0.0,0.0,0,0,0,0
1664601488.1549022,0.0,0.0,0,0,0,0
1664601488.25733,0.0,0.0,0,0,0,0
1664601488.354817,0.0,0.0,0,0,0,0
1664601488.456108,0.0,0.0,0,0,0,0
1664601488.556795,0.0,0.0,0,0,0,0
1664601488.6550715,0.0,0.0,0,0,0,0
1664601488.7577915,0.0,0.0,0,0,0,0
1664601488.8575552,0.0,0.0,0,0,0,0
1664601488.955955,0.0,0.0,0,0,0,0
1664601489.0551744,0.0,0.0,0,0,0,0
1664601489.154915,0.0,0.0,0,0,0,0
1664601489.2819924,0.0,0.0,0,0,0,0
1664601489.355113,0.0,0.0,0,0,0,0
1664601489.4553273,0.0,0.0,0,0,0,0
1664601489.5559855,0.0,0.0,0,0,0,0
1664601489.6550806,0.0,0.0,0,0,0,0
1664601489.7557287,0.0,0.0,0,0,0,0
1664601489.8569088,0.0,0.0,0,0,0,0
1664601489.955982,0.0,0.0,0,0,0,0
1664601490.0560684,0.0,0.0,0,0,0,0
1664601490.1623087,0.0,0.0,0,0,0,0
1664601490.2564316,0.0,0.0,0,0,0,0
1664601490.3561168,0.0,0.0,0,0,0,0
1664601490.456728,0.0,0.0,0,0,0,0
1664601490.5734549,0.0,0.0,0,0,0,0
1664601490.6570146,0.0,0.0,0,0,0,0
1664601490.7559216,0.0,0.0,0,0,0,0
1664601490.8574796,0.0,0.0,0,0,0,0
1664601490.9550571,0.0,0.0,0,0,0,0
1664601491.0554273,0.0,0.0,0,0,0,0
1664601491.158017,0.0,0.0,0,0,0,0
1664601491.255947,0.0,0.0,0,0,0,0
1664601491.3601904,0.0,0.0,0,0,0,0
1664601491.4552882,0.0,0.0,0,0,0,0
1664601491.55583,0.0,0.0,0,0,0,0
1664601491.656501,0.0,0.0,0,0,0,0
1664601491.7552638,0.0,0.0,0,0,0,0
1664601491.8591099,0.0,0.0,0,0,0,0
1664601491.9550316,0.0,0.0,0,0,0,0
1664601492.062329,0.0,0.0,0,0,0,0
1664601492.156751,0.0,0.0,0,0,0,0
1664601492.2628176,0.0,0.0,0,0,0,0
1664601492.3594913,0.0,0.0,0,0,0,0
1664601492.4590654,0.0,0.0,0,0,0,0
1664601492.5561745,0.0,0.0,0,0,0,0
1664601492.6551275,0.0,0.0,0,0,0,0
1664601492.757187,0.0,0.0,0,0,0,0
1664601492.854893,0.0,0.0,0,0,0,0
1664601492.9552865,0.0,0.0,0,0,0,0
1664601493.0562532,0.0,0.0,0,0,0,0
1664601493.1619933,0.0,0.0,0,0,0,0
1664601493.255546,0.0,0.0,0,0,0,0
1664601493.3550348,0.0,0.0,0,0,0,0
1664601493.4608953,0.0,0.0,0,0,0,0
1664601493.5563085,0.0,0.0,0,0,0,0
